ID,Założenie,Źródło
1,"W Szwecji metoda płatności Swish jest bardzo popularna — rośnie udział płatności mobilnych.","The Swedish payments market is almost entirely digital — Sveriges Riksbank, https://www.riksbank.se/en-gb/payments--cash/payments-in-sweden/payments-report-2025/trends-on-the-payments-market/the-swedish-payments-market-is-almost-entirely-digital/?utm_source=chatgpt.com"
2,"Swish ma już dużą penetrację użytkowników i jest ważnym kanałem płatności online/na urządzeniach mobilnych w Szwecji.","Swish on the rise in e‑commerce — Riksbank, https://www.riksbank.se/en-gb/payments--cash/payments-in-sweden/payments-report--2024/trends-in-the-payments-market/payment-habits-in-sweden/swish-on-the-rise-in-e-commerce/?utm_source=chatgpt.com"
3,"Zakupy bez konieczności logowania („guest checkout”) zwiększają konwersję w procesach e‑commerce.","Guest Checkout: Drive E‑commerce Conversion — PayPal, https://www.paypal.com/us/brc/article/importance-of-guest-checkout-for-ecommerce-conversion?utm_source=chatgpt.com"
4,"Skomplikowany checkout na urządzeniu mobilnym zwiększa współczynnik porzuceń koszyka / spadek konwersji.","How App Design Impacts Checkout Conversion Rates — blog SolveIt, https://solveit.dev/blog/how-app-design-impacts-conversion?utm_source=chatgpt.com"
5,"Targetowanie ofert w oparciu o lokalizację użytkownika (geo‑marketing) ma uzasadnienie i wpływa na skuteczność komunikatów.","In the right place at the right time: mobile location‑based marketing — FinTech Magazine, https://fintechmagazine.com/articles/are-payment-method-gaps-holding-back-e-commerce-conversion?utm_source=chatgpt.com"
6,"82% turystów odwiedzających Szczecin pochodzi z Polski.","More and more tourists visit Szczecin — Visit Szczecin, https://visitszczecin.eu/en/news/874-more-and-more-tourists-visit-szczecin"
7,"11% turystów odwiedzających Szczecin pochodzi z Niemiec.","More and more tourists visit Szczecin — Visit Szczecin, https://visitszczecin.eu/en/news/874-more-and-more-tourists-visit-szczecin"
8,"61% zagranicznych turystów odwiedzających Szczecin to Niemcy.","Urban Tourism in Szczecin and its Impact on the Functioning of the Urban Transport System — ResearchGate, https://www.researchgate.net/publication/277583292_Urban_Tourism_in_Szczecin_and_its_Impact_on_the_Functioning_of_the_Urban_Transport_System"
9,"Wydarzenie Sail Szczecin przyciągnęło prawie 390 000 turystów w jeden weekend sierpnia.","More and more tourists visit Szczecin — Visit Szczecin, https://visitszczecin.eu/en/news/874-more-and-more-tourists-visit-szczecin"
10,"Port Szczecin obsłużył 4 906 pasażerów w 2022 roku.","Port of Szczecin — Wikipedia, https://en.wikipedia.org/wiki/Port_of_Szczecin"
11,"W 2024 roku Szczecin odwiedziło ponad 2,2 miliona turystów.","Over 2 million tourists visited Szczecin in 2024 — Głos Szczeciński, https://gs24.pl/od-poczatku-roku-szczecin-odwiedzilo-ponad-2-miliony-turystow-najwiecej-na-final-regat-the-tall-ships-races/ar/c1-18929345"
12,"Najwięcej krajowych turystów przybyło z województw: dolnośląskiego (117,5 tys.), śląskiego (91,4 tys.), wielkopolskiego (74,9 tys.), łódzkiego.","Over 2 million tourists visited Szczecin in 2024 — Głos Szczeciński, https://gs24.pl/od-poczatku-roku-szczecin-odwiedzilo-ponad-2-miliony-turystow-najwiecej-na-final-regat-the-tall-ships-races/ar/c1-18929345"
13,"Wśród turystów zagranicznych najwięcej przybyło z Niemiec (około 900 tys.), Czech (30 tys.) i Wielkiej Brytanii (43,5 tys.).","Over 2 million tourists visited Szczecin in 2024 — Głos Szczeciński, https://gs24.pl/od-poczatku-roku-szczecin-odwiedzilo-ponad-2-miliony-turystow-najwiecej-na-final-regat-the-tall-ships-races/ar/c1-18929345"
14,"W sierpniu 2024 roku Szczecin odwiedziło ponad pół miliona turystów jednodniowych oraz 470 tys. osób, które zdecydowały się na nocleg w mieście.","Szczecin coraz bardziej popularny wśród turystów — Szczecin Portal, https://szczecinportal.pl/co-przyciaga-turystow-do-szczecina/"
15,"W 2024 roku w województwie zachodniopomorskim obiekty noclegowe stanowiły 14,1% krajowej bazy noclegowej.","Turystyka w województwie zachodniopomorskim w 2024 r. — GUS, https://szczecin.stat.gov.pl/opracowania-biezace/opracowania-sygnalne/sport-turystyka/turystyka-w-wojewodztwie-zachodniopomorskim-w-2024-r-informacja-sygnalna%2C2%2C18.html"
16,"W 2024 roku Szczecin odnotował rekordowy wzrost liczby turystów, z 2,2 mln odwiedzających.","Over 2 million tourists visited Szczecin in 2024 — Głos Szczeciński, https://gs24.pl/od-poczatku-roku-szczecin-odwiedzilo-ponad-2-miliony-turystow-najwiecej-na-final-regat-the-tall-ships-races/ar/c1-18929345"
17,"W 2024 roku Szczecin stał się atrakcyjnym celem na city break oraz krótkie wyjazdy, z coraz dłuższym sezonem turystycznym.","Szczecin coraz bardziej popularny wśród turystów — Szczecin Portal, https://szczecinportal.pl/co-przyciaga-turystow-do-szczecina/"
